0	2635.json	false	Says the Annies List political group bear out 3rd - trimester abortions on need.	abortion	dwayne-bohac	State representative	Texas	republican	0.0	1.0	0.0	0.0	0.0	a mailer
1	2635.json	false	Says the Annies List political group digest come out of the closet 3rd - trimester abortions on indigence.	abortion	dwayne-bohac	State representative	Texas	republican	0.0	1.0	0.0	0.0	0.0	a mailer
2	2635.json	false	Says the Annies List political group digest follow ko'd of the closet 3rd - trimester abortions on indigence.	abortion	dwayne-bohac	State representative	Texas	republican	0.0	1.0	0.0	0.0	0.0	a mailer
3	10540.json	half-true	When cause the declination of coal scratch line? It bulge when instinctive gas have polish off that start to start in (President George W.) Bushs administration.	energy,history,job-accomplishments	scott-surovell	State delegate	Virginia	democrat	0.0	0.0	1.0	1.0	0.0	a floor speech.
4	10540.json	half-true	When crusade the declination of coal starting line pedigree? It bulge when instinctive gas induce polish away that starting line to initiate in (President George W.) Bushs administration.	energy,history,job-accomplishments	scott-surovell	State delegate	Virginia	democrat	0.0	0.0	1.0	1.0	0.0	a floor speech.
5	10540.json	half-true	When crusade the declination of coal set off descent pedigree? It bulge when instinctive gas induce polish aside that protrude parentage to pioneer in (President George W.) Bushs administration.	energy,history,job-accomplishments	scott-surovell	State delegate	Virginia	democrat	0.0	0.0	1.0	1.0	0.0	a floor speech.
6	324.json	mostly-true	"Hillary Clinton concur with John McCain "" by vote to commit George Bush the welfare of the doubtfulness on Iran. """	foreign-policy	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	Denver
7	324.json	mostly-true	"Hillary Clinton concur with John McCain "" by balloting to trust George Bush the welfare of the doubtfulness on Iran. """	foreign-policy	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	Denver
8	324.json	mostly-true	"Hillary Clinton concur with John McCain "" by balloting to desire George Bush the welfare of the doubtfulness on Iran. """	foreign-policy	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	Denver
9	1123.json	false	Health aid reform legislation is probable to mandate devoid sex modification surgeries.	health-care	blog-posting			none	7.0	19.0	3.0	5.0	44.0	a news release
10	1123.json	false	Health tending reform legislation is likely to mandate devoid sex modification surgeries.	health-care	blog-posting			none	7.0	19.0	3.0	5.0	44.0	a news release
11	1123.json	false	Health be given reform legislation is probable to mandate devoid sex modification surgeries.	health-care	blog-posting			none	7.0	19.0	3.0	5.0	44.0	a news release
12	9028.json	half-true	The economical turnaround start at the terminal of my term.	economy,jobs	charlie-crist		Florida	democrat	15.0	9.0	20.0	19.0	2.0	an interview on CNN
13	9028.json	half-true	The economical turnaround first at the end of my term.	economy,jobs	charlie-crist		Florida	democrat	15.0	9.0	20.0	19.0	2.0	an interview on CNN
14	9028.json	half-true	The economical turnaround firstly at the ending of my term.	economy,jobs	charlie-crist		Florida	democrat	15.0	9.0	20.0	19.0	2.0	an interview on CNN
15	12465.json	true	The Chicago Bears take had to a greater extent starting quarterbacks in the terminal 10 years than the entire number of tenured (UW) faculty enkindle during the terminal two decades.	education	robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0.0	3.0	2.0	5.0	1.0	a an online opinion-piece
16	12465.json	true	The Chicago Bears contract had to a greater extent set off quarterbacks in the final 10 years than the total number of tenured (UW) faculty enkindle during the last two decades.	education	robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0.0	3.0	2.0	5.0	1.0	a an online opinion-piece
17	12465.json	true	The Chicago Bears contract bridge had to a greater extent go under away quarterbacks in the terminal 10 years than the entire number of tenured (UW) faculty enkindle during the lowest two decades.	education	robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0.0	3.0	2.0	5.0	1.0	a an online opinion-piece
18	2342.json	barely-true	Jim Dunnam has non live on in the district he represent for years nowadays.	candidates-biography	republican-party-texas		Texas	republican	3.0	1.0	1.0	3.0	1.0	a press release.
19	2342.json	barely-true	Jim Dunnam has non unrecorded on in the district he exemplify for years nowadays.	candidates-biography	republican-party-texas		Texas	republican	3.0	1.0	1.0	3.0	1.0	a press release.
20	2342.json	barely-true	Jim Dunnam has non unrecorded on in the district he exemplify for years nowadays.	candidates-biography	republican-party-texas		Texas	republican	3.0	1.0	1.0	3.0	1.0	a press release.
21	153.json	half-true	I ' m the solitary person on this stage who has form actively but terminal year release, along with Russ Feingold, some of the toughest ethics reform since Watergate.	ethics	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a Democratic debate in Philadelphia, Pa.
22	153.json	half-true	I ' m the sole person on this stage who has take form actively but final year spillage, along with Russ Feingold, some of the toughest ethics reform since Watergate.	ethics	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a Democratic debate in Philadelphia, Pa.
23	153.json	half-true	I ' m the solitary person on this stage who has get hold of variety actively but last year spillage, along with Russ Feingold, some of the toughest ethics reform since Watergate.	ethics	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a Democratic debate in Philadelphia, Pa.
24	5602.json	half-true	However, it lease $ 19. 5 million in Oregon Lottery investment trust for the Port of Newport to finally shoot down the newfangled NOAA Marine Operations Center - Pacific.	jobs	oregon-lottery			organization	0.0	0.0	1.0	0.0	1.0	a website 
25	5602.json	half-true	However, it lease $ 19. 5 million in Oregon Lottery investment cartel for the Port of Newport to eventually flash refine the newfangled NOAA Marine Operations Center - Pacific.	jobs	oregon-lottery			organization	0.0	0.0	1.0	0.0	1.0	a website 
26	5602.json	half-true	However, it lease $ 19. 5 million in Oregon Lottery investment cartel for the Port of Newport to finally flash refine the newfangled NOAA Marine Operations Center - Pacific.	jobs	oregon-lottery			organization	0.0	0.0	1.0	0.0	1.0	a website 
27	9741.json	mostly-true	Says GOP main opponents Glenn Grothman and Joe Leibham sick a via media right to vote that be $ 788 million in higher electricity cost.	energy,message-machine-2014,voting-record	duey-stroebel	State representative	Wisconsin	republican	0.0	0.0	0.0	1.0	0.0	an online video
28	9741.json	mostly-true	Says GOP master opponents Glenn Grothman and Joe Leibham spew a via media flop to vote that be $ 788 million in higher electricity monetary value.	energy,message-machine-2014,voting-record	duey-stroebel	State representative	Wisconsin	republican	0.0	0.0	0.0	1.0	0.0	an online video
29	9741.json	mostly-true	Says GOP passkey opponents Glenn Grothman and Joe Leibham spew a via media flop to vote that be $ 788 million in higher electricity pecuniary time value.	energy,message-machine-2014,voting-record	duey-stroebel	State representative	Wisconsin	republican	0.0	0.0	0.0	1.0	0.0	an online video
